page,line_num,text,fontname,size,x0,x1,y0,y1
6,3,"Supervisors:  Rizal  Setya  Perdana,  S.Kom.,  M.Kom.,  Ph.D.  and  Indriati,  Ir.,  S.T., M.Kom. ",BCDHEE+Calibri-Bold,12.0,113.42,512.932,640.78,667.42
6,4,"The  mismatch between a  job  applicant's qualifications and  the  requirements of job providers can contribute to the phenomenon of unemployment. This research employs TF-IDF and Word2Vec text representation approaches to implement the Improved  Sqrt-Cosine  (ISC)  similarity  calculation  between  resumes  and  job vacancy  qualifications,  ranking  the  top  five  resumes  per  job  qualification,  and evaluating the results by an expert using two scenarios involving the weighting of resume sections. The results indicate that Word2Vec with ISC performs best in the scenario without section weighting, while Word2Vec with Cosine Similarity excels in  the  scenario  with  section  weighting.  TF-IDF  with  ISC  demonstrates  the  best performance in generating the top five resumes with content relevant to the job description.  Although  the  implementation  of  ISC  with  Word2Vec  performs  best because  it  is  still  quite  capable  of  capturing  the  semantic  relationships  of keywords,  it  is  less  recommended  due  to  the  distortion  of  original  semantic relationships  caused  by  absolute  value  transformations.  If  section  weighting preferences introduce bias by not reflecting the general preferences of recruiters, the implementation of ISC with TF-IDF is more recommended for use.  ",BCDEEE+Calibri,12.0,113.42,512.914,400.37,632.14
6,5,"Keywords: resume similarity, ranking, improved sqrt-cosine, spearman ",BCDEEE+Calibri,12.0,113.42,459.532,338.45,350.45
6,6,vi ,BCDEEE+Calibri,9.96,308.47,317.56096,47.669999999999995,57.629999999999995
7,1,DAFTAR ISI ,BCDHEE+Calibri-Bold,15.960000000000036,275.09,352.15696,723.43,739.39
7,2,PENGESAHAN ........................................................................................................... ii ,BCDEEE+Calibri,12.0,113.42,512.572,670.06,682.06
7,3,PERNYATAAN ORISINALITAS ................................................................................... iii ,BCDEEE+Calibri,12.0,113.42,512.572,649.42,661.42
7,4,PRAKATA.................................................................................................................. iv ,BCDEEE+Calibri,12.0,113.42,512.572,628.78,640.78
7,5,ABSTRAK ................................................................................................................... v ,BCDEEE+Calibri,12.0,113.42,512.572,608.14,620.14
7,6,ABSTRACT ................................................................................................................ vi ,BCDEEE+Calibri,12.0,113.42,512.572,587.5,599.5
7,7,DAFTAR ISI .............................................................................................................. vii ,BCDEEE+Calibri,12.0,113.42,512.572,566.83,578.83
7,8,DAFTAR TABEL .......................................................................................................... x ,BCDEEE+Calibri,12.0,113.42,512.572,546.19,558.19
7,9,DAFTAR GAMBAR .................................................................................................. xiii ,BCDEEE+Calibri,12.0,113.42,512.572,525.55,537.55
7,10,DAFTAR LAMPIRAN ................................................................................................ xv ,BCDEEE+Calibri,12.000000000000057,113.42,512.572,504.91,516.9100000000001
7,11,BAB 1  PENDAHULUAN ...................................................................................... 1 ,BCDEEE+Calibri,12.0,113.42,512.572,484.15,496.15
7,12,1.1  Latar Belakang ................................................................................. 1 ,BCDEEE+Calibri,12.0,147.38,512.572,463.51,475.51
7,13,1.2  Rumusan Masalah ........................................................................... 2 ,BCDEEE+Calibri,12.0,147.38,512.572,442.87,454.87
7,14,1.3  Tujuan .............................................................................................. 2 ,BCDEEE+Calibri,12.0,147.38,512.572,422.23,434.23
7,15,1.4  Manfaat ........................................................................................... 3 ,BCDEEE+Calibri,12.0,147.38,512.572,401.57,413.57
7,16,1.5  Batasan Masalah ............................................................................. 3 ,BCDEEE+Calibri,12.0,147.38,512.572,380.93,392.93
7,17,1.6  Sistematika Pembahasan ................................................................ 3 ,BCDEEE+Calibri,12.0,147.38,512.572,360.29,372.29
7,18,BAB 2  LANDASAN KEPUSTAKAAN ..................................................................... 5 ,BCDEEE+Calibri,12.0,113.42,512.572,339.65,351.65
7,19,2.1  Kajian Pustaka ................................................................................. 5 ,BCDEEE+Calibri,12.0,147.38,512.572,319.01,331.01
7,20,2.2  Dasar Teori ...................................................................................... 7 ,BCDEEE+Calibri,12.0,147.38,512.572,298.37,310.37
7,21,2.2.1  Resume .................................................................................... 7 ,BCDEEE+Calibri,12.0,164.42,512.572,277.73,289.73
7,22,2.2.2  Similaritas Teks ........................................................................ 8 ,BCDEEE+Calibri,12.0,164.42,512.572,257.09,269.09
7,23,2.2.3  Pra-pemrosesan Teks .............................................................. 9 ,BCDEEE+Calibri,12.0,164.42,512.572,236.42,248.42
7,24,2.2.4  TF-IDF .................................................................................... 10 ,BCDEEE+Calibri,12.0,164.42,512.572,215.78,227.78
7,25,2.2.5  Word2Vec .............................................................................. 12 ,BCDEEE+Calibri,12.0,164.42,512.572,195.02,207.02
7,26,2.2.6  Improved Sqrt-Cosine Similarity ............................................ 13 ,BCDEEE+Calibri,12.0,164.42,512.572,174.38,186.38
7,27,2.2.7  Cosine Similarity .................................................................... 14 ,BCDEEE+Calibri,12.0,164.42,512.572,153.74,165.74
7,28,2.2.8  Human-Level Performance .................................................... 14 ,BCDEEE+Calibri,12.0,164.42,512.572,133.1,145.1
7,29,2.2.9  Spearman Rank Correlation Coefficient (SRCC) .................... 15 ,BCDEEE+Calibri,12.0,164.42,512.572,112.46,124.46
7,30,BAB 3  METODOLOGI ....................................................................................... 16 ,BCDEEE+Calibri,12.0,113.42,512.572,91.824,103.824
7,31,vii ,BCDEEE+Calibri,9.96,307.27,318.64096,47.669999999999995,57.629999999999995
8,1,3.1  Tipe Penelitian ............................................................................... 16 ,BCDEEE+Calibri,12.0,147.38,512.572,728.26,740.26
8,2,3.2  Strategi Penelitian ......................................................................... 16 ,BCDEEE+Calibri,12.0,147.38,512.572,707.62,719.62
8,3,3.3  Lokasi Penelitian ............................................................................ 16 ,BCDEEE+Calibri,12.0,147.38,512.572,686.98,698.98
8,4,3.4  Metode Pengumpulan Data .......................................................... 16 ,BCDEEE+Calibri,12.0,147.38,512.572,666.34,678.34
8,5,3.5  Metode Analisis Data .................................................................... 17 ,BCDEEE+Calibri,12.0,147.38,512.572,645.7,657.7
8,6,3.6  Metode Evaluasi ............................................................................ 17 ,BCDEEE+Calibri,12.0,147.38,512.572,625.06,637.06
8,7,3.7  Peralatan Pendukung .................................................................... 18 ,BCDEEE+Calibri,12.0,147.38,512.572,604.3,616.3
8,8,3.7.1  Perangkat Lunak (Software) .................................................. 18 ,BCDEEE+Calibri,12.0,164.42,512.572,583.63,595.63
8,9,3.7.2  Perangkat Keras (Hardware) ................................................. 18 ,BCDEEE+Calibri,12.0,164.42,512.572,562.99,574.99
8,10,3.8  Perancangan Algoritma ................................................................. 18 ,BCDEEE+Calibri,12.0,147.38,512.572,542.35,554.35
8,11,BAB 4  PERANCANGAN .................................................................................... 20 ,BCDEEE+Calibri,12.0,113.42,512.572,521.71,533.71
8,12,4.1  Deskripsi Umum ............................................................................ 20 ,BCDEEE+Calibri,11.999999999999943,147.38,512.572,501.07,513.0699999999999
8,13,4.2  Preprocessing ................................................................................ 20 ,BCDEEE+Calibri,12.0,147.38,512.572,480.43,492.43
8,14,4.2.1  Ekstraksi Section .................................................................... 20 ,BCDEEE+Calibri,12.0,164.42,512.572,459.79,471.79
8,15,4.2.2  Preprocessing Isian Resume .................................................. 25 ,BCDEEE+Calibri,12.0,164.42,512.572,439.15,451.15
8,16,4.2.3  Preprocessing Penamaan Section ......................................... 27 ,BCDEEE+Calibri,12.0,164.42,512.572,418.51,430.51
8,17,4.2.4  Preprocessing Kualifikasi Lowongan Kerja ............................ 29 ,BCDEEE+Calibri,12.0,164.42,512.572,397.85,409.85
8,18,4.3  Perhitungan Representasi Teks ..................................................... 30 ,BCDEEE+Calibri,12.0,147.38,512.572,377.21,389.21
8,19,4.3.1  TF-IDF .................................................................................... 30 ,BCDEEE+Calibri,12.0,164.42,512.572,356.57,368.57
8,20,4.3.2  Word2Vec .............................................................................. 33 ,BCDEEE+Calibri,12.0,164.42,512.572,335.93,347.93
8,21,4.4  Perhitungan Similaritas ................................................................. 36 ,BCDEEE+Calibri,12.0,147.38,512.572,315.29,327.29
8,22,4.4.1  Improved Sqrt-Cosine Similarity ............................................ 36 ,BCDEEE+Calibri,12.0,164.42,512.572,294.53,306.53
8,23,4.4.2  Cosine Similarity .................................................................... 38 ,BCDEEE+Calibri,12.0,164.42,512.572,273.89,285.89
8,24,4.5  Perhitungan Korelasi ..................................................................... 40 ,BCDEEE+Calibri,12.0,147.38,512.572,253.25,265.25
8,25,4.6  Perhitungan Relevansi dan Senioritas........................................... 42 ,BCDEEE+Calibri,12.0,147.38,512.572,232.58,244.58
8,26,4.7  Perhitungan Manual...................................................................... 44 ,BCDEEE+Calibri,12.0,147.38,512.572,211.94,223.94
8,27,4.7.1  Data Uji .................................................................................. 44 ,BCDEEE+Calibri,12.0,164.42,512.572,191.3,203.3
8,28,4.7.2  Perhitungan Manual Ekstraksi Section .................................. 45 ,BCDEEE+Calibri,12.0,164.42,512.572,170.66,182.66
8,29,4.7.3  Perhitungan Manual Preprocessing Resume ........................ 46 ,BCDEEE+Calibri,12.0,164.42,512.572,150.02,162.02
8,30,4.7.4  Perhitungan  Manual  Preprocessing  Kualifikasi Lowongan Kerja .................................................................................... 59 ,BCDEEE+Calibri,12.0,164.42,512.572,114.74,141.38
8,31,4.7.5  Perhitungan Manual Representasi Teks ............................... 61 ,BCDEEE+Calibri,12.0,164.42,512.572,94.104,106.104
8,32,viii ,BCDEEE+Calibri,9.96,306.19,319.84096,47.669999999999995,57.629999999999995
9,1,4.7.6  Perhitungan Manual Similaritas ............................................ 94 ,BCDEEE+Calibri,12.0,164.42,512.572,728.26,740.26
9,2,4.7.7  Skenario Pengujian .............................................................. 101 ,BCDEEE+Calibri,12.0,164.42,512.572,707.62,719.62
9,3,BAB 5  IMPLEMENTASI................................................................................... 105 ,BCDEEE+Calibri,12.0,113.42,512.572,686.98,698.98
9,4,5.1  Implementasi  Kode  Program  Import  Libraries  dan  Load Dataset ..................................................................................................... 105 ,BCDEEE+Calibri,12.0,147.38,512.572,651.7,678.34
9,5,5.2  Implementasi Kode Program Preprocessing Resume ................. 108 ,BCDEEE+Calibri,12.0,147.38,512.572,631.06,643.06
9,6,5.3  Implementasi  Kode  Program  Preprocessing  Kualifikasi Lowongan Kerja ....................................................................................... 118 ,BCDEEE+Calibri,12.0,147.38,512.572,595.66,622.3
9,7,5.4  Implementasi Kode Program Representasi Teks TF-IDF ............. 120 ,BCDEEE+Calibri,12.0,147.38,512.572,574.99,586.99
9,8,5.5  Implementasi Kode Program Representasi Teks Word2Vec 121 ,BCDEEE+Calibri,12.0,147.38,467.90200000000004,539.71,566.35
9,9,5.6  Implementasi Kode Program Perhitungan Similaritas ................ 123 ,BCDEEE+Calibri,12.0,147.38,512.572,519.07,531.07
9,10,5.6.1  Implementasi  Kode  Program  Improved  Sqrt-Cosine Similarity............................................................................................. 123 ,BCDEEE+Calibri,12.0,164.42,512.572,483.79,510.43
9,11,5.6.2  Implementasi  Kode  Program  TF-IDF  dan  Improved Sqrt-Cosine Similarity ......................................................................... 124 ,BCDEEE+Calibri,12.0,164.42,512.572,448.51,475.15
9,12,5.6.3  Implementasi  Kode  Program  Word2Vec  dan  Cosine Similarity............................................................................................. 129 ,BCDEEE+Calibri,12.0,164.42,512.572,413.21,439.87
9,13,5.6.4  Implementasi  Kode  Program  Word2Vec  dan Improved Sqrt-Cosine Similarity ......................................................... 134 ,BCDEEE+Calibri,12.0,164.42,512.572,377.93,404.57
9,14,5.7  Implementasi Kode Program Pengujian ..................................... 139 ,BCDEEE+Calibri,12.0,147.38,512.572,357.29,369.29
9,15,5.7.1  Implementasi Kode Program Perhitungan SRCC ................ 139 ,BCDEEE+Calibri,12.0,164.42,512.572,336.53,348.53
9,16,5.7.2  Implementasi  Kode  Program  Perhitungan  Relevansi dan Senioritas ..................................................................................... 144 ,BCDEEE+Calibri,12.0,164.42,512.572,301.25,327.89
9,17,BAB 6  PENGUJIAN DAN ANALISIS HASIL ....................................................... 150 ,BCDEEE+Calibri,12.0,113.42,512.572,280.61,292.61
9,18,6.1  Pengujian ..................................................................................... 150 ,BCDEEE+Calibri,12.0,147.38,512.572,259.97,271.97
9,19,6.2  Analisis Hasil ................................................................................ 156 ,BCDEEE+Calibri,12.0,147.38,512.572,239.3,251.3
9,20,BAB 7  PENUTUP ............................................................................................ 165 ,BCDEEE+Calibri,12.0,113.42,512.572,218.66,230.66
9,21,7.1  Kesimpulan .................................................................................. 165 ,BCDEEE+Calibri,12.0,147.38,512.572,198.02,210.02
9,22,7.2  Saran ............................................................................................ 166 ,BCDEEE+Calibri,12.0,147.38,512.572,177.38,189.38
9,23,ix ,BCDEEE+Calibri,9.96,308.59,317.44096,47.669999999999995,57.629999999999995
10,1,DAFTAR TABEL ,BCDHEE+Calibri-Bold,15.960000000000036,262.61,364.75696,723.43,739.39
10,2,Tabel 1.1 Tingkat pengangguran 7 negara ASEAN World Economic Outlook ........ 1 ,BCDEEE+Calibri,12.0,113.42,512.572,690.7,702.7
10,3,Tabel 2.1 Hasil eksperimen pertama penelitian oleh Ahmad Alsharef dkk. ........... 5 ,BCDEEE+Calibri,12.0,113.42,512.572,670.06,682.06
10,4,Tabel 2.2 Hasil eksperimen kedua penelitian oleh Ahmad Alsharef dkk. ............... 6 ,BCDEEE+Calibri,12.0,113.42,512.572,649.42,661.42
10,5,Tabel 4.1 Data uji resume untuk perhitungan manual ......................................... 44 ,BCDEEE+Calibri,12.0,113.42,512.572,628.78,640.78
10,6,Tabel 4.2 Data uji kualifikasi lowongan kerja untuk perhitungan manual ........... 45 ,BCDEEE+Calibri,12.0,113.42,512.572,608.14,620.14
10,7,Tabel 4.3 Hasil perhitungan manual ekstraksi section .......................................... 45 ,BCDEEE+Calibri,12.0,113.42,512.572,587.5,599.5
10,8,Tabel  4.4  Hasil  perhitungan  manual  preprocessing  resume  bagian  menghapus email ...................................................................................................................... 46 ,BCDEEE+Calibri,12.0,113.42,512.914,552.19,578.83
10,9,Tabel  4.5  Hasil  perhitungan  manual  preprocessing  resume  bagian  menghapus nomor telepon ...................................................................................................... 47 ,BCDEEE+Calibri,12.0,113.42,512.914,516.91,543.55
10,10,"Tabel  4.6  Hasil  perhitungan  manual  preprocessing  resume  bagian  menghapus －berbagai tipe tanda minus ( , –, —) ................................................................... 48 ",BCDEEE+Calibri,12.0,113.42,512.914,480.79,508.15
10,11,Tabel  4.7  Hasil  perhitungan  manual  preprocessing  resume  bagian  menghapus nama bulan ............................................................................................................ 48 ,BCDEEE+Calibri,12.0,113.42,512.914,445.39,472.03
10,12,Tabel 4.8 Hasil perhitungan manual preprocessing resume bagian menghapus kata “Present” dan “Current” ........................................................................................ 49 ,BCDEEE+Calibri,12.0,113.42,512.938,409.97,436.75
10,13,Tabel  4.9  Hasil  perhitungan  manual  preprocessing  resume  bagian  menghapus tanggal ................................................................................................................... 50 ,BCDEEE+Calibri,12.0,113.42,512.914,374.69,401.33
10,14,Tabel  4.10  Hasil  perhitungan  manual  preprocessing  resume  bagian  menghapus placeholder ............................................................................................................ 51 ,BCDEEE+Calibri,12.0,113.42,512.914,339.41,366.05
10,15,Tabel  4.11  Hasil  perhitungan  manual  preprocessing  resume  bagian  menghapus tanda baca ............................................................................................................. 52 ,BCDEEE+Calibri,12.0,113.42,512.914,304.13,330.77
10,16,Tabel  4.12  Hasil  Perhitungan  manual  preprocessing  resume  bagian  menghapus angka ..................................................................................................................... 53 ,BCDEEE+Calibri,12.0,113.42,512.938,268.85,295.49
10,17,Tabel  4.13  Hasil  perhitungan  manual  preprocessing  resume  bagian  menghapus spasi kosong berlebih ............................................................................................ 54 ,BCDEEE+Calibri,12.0,113.42,512.914,233.54,260.18
10,18,Tabel 4.14 Hasil perhitungan manual preprocessing resume bagian lematisasi dan menghapus stop words ......................................................................................... 54 ,BCDEEE+Calibri,12.0,113.42,512.902,198.26,224.9
10,19,Tabel  4.15  Hasil  perhitungan  manual  penyetaraan  nama  section  bagian mengonversi nama section menjadi huruf kecil (lower casing) ........................... 55 ,BCDEEE+Calibri,12.0,113.42,513.04,162.86,189.62
10,20,Tabel  4.16  Hasil  perhitungan  manual  penyetaraan  nama  section  bagian mengonversi nama section menjadi huruf kecil (lower casing) ........................... 56 ,BCDEEE+Calibri,12.0,113.42,513.04,127.58000000000001,154.22
10,21,Tabel  4.17  hasil  perhitungan  manual  penyetaraan  nama  section  bagian menyeragamkan pengelompokan section berdasarkan pemetaan ..................... 57 ,BCDEEE+Calibri,12.0,113.42,513.04,92.304,118.94
10,22,x ,BCDEEE+Calibri,9.96,309.67,316.24096000000003,47.669999999999995,57.629999999999995
11,1,"Tabel 4.18 Hasil perhitungan manual penyetaraan nama section bagian klasifikasi, penghapusan, dan pengelompokan section tidak valid ........................................ 58 ",BCDEEE+Calibri,12.0,113.42,513.0160000000001,713.62,740.26
11,2,Tabel  4.19  Hasil  perhitungan  manual  penyetaraan  nama  section  bagian mengonversi isi resume menjadi huruf kecil (lower casing) ................................ 58 ,BCDEEE+Calibri,12.0,113.42,513.04,678.34,704.98
11,3,Tabel  4.20  Hasil  perhitungan  manual  preprocessing  kualifikasi  lowongan  kerja bagian  mengonversi  isi  kualifikasi  lowongan  kerja  menjadi  huruf  kecil  (lower casing) ................................................................................................................... 59 ,BCDEEE+Calibri,12.0,113.42,513.0400000000001,628.3,669.7
11,4,Tabel  4.21  Hasil  perhitungan  manual  preprocessing  kualifikasi  lowongan  kerja bagian menghapus angka ..................................................................................... 59 ,BCDEEE+Calibri,12.0,113.42,512.9259999999999,593.02,619.66
11,5,Tabel  4.22  Hasil  perhitungan  manual  preprocessing  kualifikasi  lowongan  kerja bagian menghapus tanda baca ............................................................................. 60 ,BCDEEE+Calibri,12.0,113.42,512.9259999999999,557.71,584.35
11,6,Tabel  4.23  Hasil  perhitungan  manual  preprocessing  kualifikasi  lowongan  kerja bagian menghapus spasi kosong berlebih ............................................................ 60 ,BCDEEE+Calibri,12.0,113.42,512.9259999999999,522.43,549.07
11,7,Tabel  4.24  Hasil  perhitungan  manual  preprocessing  kualifikasi  lowongan  kerja bagian lematisasi dan menghapus stop words ..................................................... 61 ,BCDEEE+Calibri,11.999999999999943,113.42,512.6719999999998,487.15,513.79
11,8,Tabel 4.25 Korpus resume untuk perhitungan manual ........................................ 61 ,BCDEEE+Calibri,12.0,113.42,512.572,466.51,478.51
11,9,Tabel 4.26 Perhitungan manual frekuensi term setiap resume ........................... 62 ,BCDEEE+Calibri,12.0,113.42,512.572,445.87,457.87
11,10,Tabel 4.27 Perhitungan manual TF korpus resume .............................................. 64 ,BCDEEE+Calibri,12.0,113.42,512.572,425.23,437.23
11,11,Tabel 4.28 Perhitungan manual IDF korpus resume ............................................. 66 ,BCDEEE+Calibri,12.0,113.42,512.572,404.57,416.57
11,12,Tabel 4.29 Perhitungan manual TF-IDF korpus resume ........................................ 68 ,BCDEEE+Calibri,12.0,113.42,512.572,383.93,395.93
11,13,Tabel 4.30 Perhitungan manual TF-IDF korpus resume setelah normalisasi ....... 71 ,BCDEEE+Calibri,12.0,113.42,512.572,363.29,375.29
11,14,Tabel 4.31 Korpus kualifikasi lowongan kerja untuk perhitungan manual........... 73 ,BCDEEE+Calibri,12.0,113.42,512.572,342.53,354.53
